metric_id,metric_key,display_name,module,metric_category,formula_definition,primary_source,source_of_truth_rule,trust_rule,formula_version,owner,qa_case_ids,is_p0,dashboard_visible
SUB-MET-017,portal_completion_rate,Portal Completion Rate,subscriptions,Handoff,handoff_completed / handoff_started or selected denominator.,Portal/Stay.ai,Portal success requires confirmed completion,Portal success requires confirmed completion,sub_formula_v0.2_wave05_data_lock,analytics,TC-SUB-041,True,True
SUB-MET-018,handoff_abandonment_rate,Handoff Abandonment Rate,subscriptions,Handoff,handoff_abandoned / handoff_started.,Portal/handoff,Abandoned excluded from containment,Abandoned excluded from containment,sub_formula_v0.2_wave05_data_lock,analytics,TC-SUB-042,True,True
SUB-MET-019,unresolved_subscription_call_rate,Unresolved Subscription Call Rate,subscriptions,Containment,unresolved subscription journeys / subscription request volume.,Synthflow + outcomes,Unresolved excluded from success,Unresolved excluded from success,sub_formula_v0.2_wave05_data_lock,analytics,TC-SUB-050,True,True
SUB-MET-020,escalated_subscription_call_rate,Escalated Subscription Call Rate,escalations,Containment,escalated journeys / subscription request volume.,Synthflow/RingCX,Escalation is not automation containment,Escalation is not automation containment,sub_formula_v0.2_wave05_data_lock,analytics,TC-SUB-051,True,True
SUB-MET-021,automation_containment_rate,True Subscription Containment Rate,overview,Containment,"successful_containment_confirmed / eligible journeys excluding abandoned, drop-off, unresolved, failed, escalation-only, link-sent-only.",Derived from Synthflow + Stay.ai + handoff,Exclusion-first containment,Exclusion-first containment,sub_formula_v0.2_wave05_data_lock,analytics,TC-SUB-052,True,True
SUB-MET-022,stayai_confirmation_coverage,Stay.ai Confirmation Coverage,data_quality,Trust,actions with official Stay.ai confirmation / actions requiring confirmation.,Stay.ai,Coverage visible on outcome metrics,Coverage visible on outcome metrics,sub_formula_v0.2_wave05_data_lock,analytics,TC-SUB-060,True,True
SUB-MET-023,subscription_data_freshness,Subscription Data Freshness,data_quality,Trust,latest source timestamp compared to SLA.,Stay.ai/Synthflow/portal,Fresh/stale/missing labels system-calculated,Fresh/stale/missing labels system-calculated,sub_formula_v0.2_wave05_data_lock,analytics,TC-SUB-061,True,True
SUB-MET-024,export_audit_coverage,Export Audit Coverage,governance,Export,exports with audit reference / total exports.,Export service + audit log,Exports require audit reference,Exports require audit reference,sub_formula_v0.2_wave05_data_lock,analytics,TC-SUB-070,True,True
ORD-MET-001,order_status_resolution_rate,Order Status Resolution Rate,order_status,Order Status,resolved order status journeys with Shopify context / eligible order status journeys.,Synthflow + Shopify,Shopify provides official order context,Shopify provides official order context,sub_formula_v0.2_wave05_data_lock,analytics,TC-ORD-001,True,True
GOV-MET-001,high_trust_metric_rate,High Trust Metric Rate,data_quality,Trust,high trust metrics / major metrics.,Warehouse,Trust labels are calculated only,Trust labels are calculated only,sub_formula_v0.2_wave05_data_lock,analytics,TC-GOV-001,False,True
GOV-MET-002,export_audit_compliance_rate,Export Audit Compliance Rate,governance,Export,compliant exports / all exports.,Analytics API,Fingerprint and audit reference required,Fingerprint and audit reference required,sub_formula_v0.2_wave05_data_lock,analytics,TC-GOV-002,False,True
