id,screenshot,page,category,severity,confidence_pct,issue_summary,support_user_impact,recommended_fix,owner,target_cycle
S2.01,01-overview-page-polished.png,/overview,non-technical-comprehension,P1,98.5,"Overview page title 'Cross-platform support intelligence' is vague","CS agent does not learn what to do","Retitle: 'Today across all support channels' / 'What changed in support today?'",Agent B,008
S2.02,01-overview-page-polished.png,/overview,visual-hierarchy,P2,98.5,"Overview hero treatment identical to subscription page","User cannot tell which module they are looking at; every page reads as priority","Subscription module retains boldest treatment; other modules use lighter surface-card hero",Agent B,008
S2.03,01-overview-page-polished.png,/overview,metric-clarity,P1,98.5,"KPI trend deltas use copy 'Awaiting first confirmed window'","'first confirmed window' is jargon","Replace with 'We need at least one full week of data before we can show a trend'",Agent B,008
S2.04,01-overview-page-polished.png,/overview,metric-clarity,P1,98.5,"Em-dash placeholder + eyebrow 'Preview value · awaiting live contract'","User does not know what dash means; 'live contract' is engineering vocabulary","Replace with 'Live data starts here once the source is wired' + ? tooltip",Agent B,008
S2.05,01-overview-page-polished.png,/overview,actionability,P1,98.5,"No 'needs attention' panel on Overview; metrics-only","Executive sees green numbers; support lead does not know what is broken","Add 'Across the day' aggregated action card linking to each module's follow-up queue",Agent B,008
S3.01,02-subscription-analytics-page-polished.png,/subscriptions,chart-usefulness,P0,99.5,"KPI grid mixes counts and rates on one canvas with mixed visual treatments (6-card count grid + 3-card rate grid with violet gradient + ambient glow + formula chips)","User cannot tell which is the headline vs detail; two unrelated visual systems compete","One headline card on Command Center; rate cards move to /subscriptions/outcomes Level 2",Agent B,008
S3.02,02-subscription-analytics-page-polished.png,/subscriptions,terminology-jargon,P2,98.5,"data-testid leaks raw metric IDs (subscription_contacts_total, outcome-rate-formula-…)","Bleeds into copy/paste, screen readers, accessibility scans; feels like code preview","Keep data-testid for tests; ensure visible label is always human ('Confirmed saves')",Agent B,008
S3.03,02-subscription-analytics-page-polished.png,/subscriptions,terminology-jargon,P1,98.5,"'Stay.ai-confirmed ratio' sub-eyebrow under every rate card","Authority chip already present in panel header; redundant","Authority chip on panel header only; remove per-card sub-eyebrow",Agent B,008
S3.04,02-subscription-analytics-page-polished.png,/subscriptions,terminology-jargon,P1,98.5,"Formula text '(N / D)' shown as monospace chip on every rate card","Users do not need algebra to read the rate; raises cognitive bar","Hover tooltip for formula; Level 2 expander on Outcome Summary",Agent B,008
S3.05,02-subscription-analytics-page-polished.png,/subscriptions,metric-clarity,P1,98.5,"'Subscription contacts in scope: 245' has unclear unit","Calls? Customers? Distinct subscriptions? Distinct phone numbers?","'245 subscription calls in this view' + ? tooltip 'One row per call where the customer asked about their subscription'",Agent B,008
S3.06,02-subscription-analytics-page-polished.png,/subscriptions,source-truth-messaging,P2,98.5,"Funnel restates 'Source authority: Stay.ai' on every stage row","Panel header already shows 'Stay.ai-final stages: N'; restating adds visual weight without information","Authority chip once per panel; mark stages whose authority differs",Agent B,008
S3.07,02-subscription-analytics-page-polished.png,/subscriptions,chart-usefulness,P2,98.5,"Funnel encodes share twice (text + bar)","Redundant; takes two reads to verify they agree","Keep bar as primary; render share % as hover tooltip",Agent B,008
S3.08,02-subscription-analytics-page-polished.png,/subscriptions,accessibility,P2,98.5,"Funnel aria-valuenow on a role=presentation element","Lighthouse / axe will flag; screen-reader users get role removed but stray aria-valuenow","Drop aria-valuenow OR change role to progressbar with aria-valuemin/max/now and accessible name",Agent B,008
S3.09,02-subscription-analytics-page-polished.png,/subscriptions,layout-organization,P3,98.5,"Outcome alerts panel uses two-column grid for short messages","Severity-ordered reading flow lost; assistive tech ordering disrupted","Single-column list ordered by severity (danger → warning → info)",Agent B,008
S3.10,02-subscription-analytics-page-polished.png,/subscriptions,visual-hierarchy,P0,99.0,"Metadata panel renders fingerprint, audit reference, metric IDs, formula version inline on page surface","Support user has no use for fingerprint; signals 'developer view'; crowds page","Move to ▾ 'Show metric definitions, formula version, fingerprint, audit reference' expander (Level 2) + 'Open governance drawer' link (Level 3)",Agent B,008
S3.11,02-subscription-analytics-page-polished.png,/subscriptions,non-technical-comprehension,P1,98.5,"Generated at timestamp shown as raw ISO '2026-05-05T19:21:03+00:00'","Not friendly; time-zone unclear","'Updated 12 minutes ago · 5 May at 14:21 ET' + hover for raw ISO",Agent B,008
S3.12,02-subscription-analytics-page-polished.png,/subscriptions,terminology-jargon,P1,98.5,"metric_id shown as 'subscription_outcomes_v3.2' on page surface","User does not need metric ID at Level 1","Human label 'Subscription outcomes — version 3.2' inside Level 2 expander; raw ID inside Level 3 drawer",Agent B,008
S3.13,02-subscription-analytics-page-polished.png,/subscriptions,terminology-jargon,P1,99.0,"Scenario rendered as monospace 'pending_stayai_confirmation'","Developer state name leaked to page surface","Translate to friendly description; show only inside Level 2",Agent B,008
S3.14,02-subscription-analytics-page-polished.png,/subscriptions,business-value-visibility,P1,99.0,"Fingerprint and audit reference shown as full mono break-all strings","Signals 'for engineers'; breaks page rhythm with monospace blocks","Truncate first/last 4 chars at Level 1 with copy-to-clipboard; full string in Level 3 drawer",Agent B,008
S3.15,02-subscription-analytics-page-polished.png,/subscriptions,source-truth-messaging,P2,98.5,"Authority chip duplicated 3+ times (OutcomesView header + KpiGrid header + MetadataPanel header)","Source-of-truth lock becomes wallpaper instead of authority signal","One authority chip per subpage in page header; cards reference it via inline source chips",Agent B,008
S3.16,02-subscription-analytics-page-polished.png,/subscriptions,layout-organization,P1,98.5,"Cycle 002 SubscriptionFinalStateBanner overlaps semantically with Cycle 005 alerts panel","User told same warning twice with different copy and visual languages","Pick one; 'Stay.ai final state pending' state lives on Outcome Summary not Command Center",Agent B,008
S3.17,02-subscription-analytics-page-polished.png,/subscriptions,layout-organization,P0,99.5,"PortalJourneyPanel/ShopifyContextPanel/SynthflowJourneyPanel/SourceConfirmationPanel/SubscriptionMetricMetadataPanel all rendered with no progressive disclosure","Five extra context-only panels pad page beyond two viewports; dilute hero metric","Portal panel moves to /subscriptions/portal-handoff; Shopify/Synthflow journey to /subscriptions/diagnostics; Source-confirmation rolls into page header authority chip + L2 expander",Agent B,008
S3.18,02-subscription-analytics-page-polished.png,/subscriptions,layout-organization,P0,99.5,"Full SourceHealthView module embedded inside /subscriptions","Two entry points to source health (sidebar + this in-page section); breaks global IA","Remove embedded mount; surface as chip on Command Center linking to /data-quality",Agent B,008
S3.19,02-subscription-analytics-page-polished.png,/subscriptions,terminology-jargon,P0,99.5,"Subnav prototype description leaks 'IA v2 · 10 focused subpages · Cycle 007 prototype' and a markdown spec path","Subnav literally points the user at a markdown file path","No helper paragraph or chip in production; status is 'Coming soon' pill; no file paths",Agent B,008
S3.20,02-subscription-analytics-page-polished.png,/subscriptions,actionability,P1,99.0,"Page-header 'Advanced filters · planned' and 'Export this view · planned' grey buttons","Users learn page-header buttons do not work and stop trying","Ship buttons functional in Cycle 008 or do not render them at all",Agent B,008
S3.21,02-subscription-analytics-page-polished.png,/subscriptions,drilldowns,P1,98.5,"KPI cards do not link anywhere","User expects clicking 'Confirmed saves: 142' takes them to a list; it does not","Every KPI card a link to its canonical subpage drilldown",Agent B,008
S3.22,02-subscription-analytics-page-polished.png,/subscriptions,drilldowns,P1,98.5,"Funnel stages do not link to Cancellation Intake / Cost Too High / Portal+Handoff","Stage drill-down impossible","Stages link to subpage that owns upstream/downstream of that step",Agent B,008
S3.23,02-subscription-analytics-page-polished.png,/subscriptions,business-value-visibility,P0,99.0,"No business value visible on Command Center despite Agent A shipping /subscriptions/business-value contract","Workflow #3 'How much money did we save?' not answered","Render Net Business Value (Confirmed) as 5th KPI on Command Center + dedicated /subscriptions/business-value subpage",Agent B,008
S3.24,02-subscription-analytics-page-polished.png,/subscriptions,business-value-visibility,P0,99.0,"No Cost Too High retention funnel visualization","Workflow #5 'Which offer path is working?' cannot be answered","Cycle 008 ships /subscriptions/cost-too-high per IA spec §4.1.5",Agent B,008
S3.25,02-subscription-analytics-page-polished.png,/subscriptions,actionability,P1,98.5,"Alerts surface 'Pending Stay.ai final state · N records' but no link to records","Action surfaced without resolution path","Alert row becomes CTA → /subscriptions/follow-up?filter=pending_stayai_final_state",Agent B,008
S3.26,02-subscription-analytics-page-polished.png,/subscriptions,table-usefulness,P1,98.5,"No table on /subscriptions; only KPI cards and a funnel","Workflows #4 and #6 need row-level table","Cycle 008 ships operator-facing FollowUpTable on /subscriptions/follow-up",Agent B,008
S4.01,03-subscription-pending-stayai.png,/subscriptions,non-technical-comprehension,P0,99.5,"'Pending Stay.ai final state' / 'outcomes blocked from finalization' assumes user knows what Stay.ai and 'final state' mean","New CS agents not on-boarded to Stay.ai source-of-truth; cannot interpret 'final state'","Apply copy guide: 'We do not yet have official subscription confirmation' / first-mention Stay.ai tooltip",Agent B,008
S4.02,03-subscription-pending-stayai.png,/subscriptions,terminology-jargon,P1,99.0,"Source confirmation pill shows 'pending_stayai_match' enum value","Code-style enum rendered in a chip","Translate to 'Awaiting Stay.ai' / 'Confirmed by Stay.ai' / 'Stay.ai confirmation missing'",Agent B,008
S4.03,03-subscription-pending-stayai.png,/subscriptions,accessibility,P2,98.5,"KPI tone 'pending' uses amber; same colour also used for 'warning' alerts","Reader cannot tell whether amber means 'pending' (waiting) or 'warning' (alarming)","Pending uses neutral slate + clock icon; amber = warning only",Agent B,008
S4.04,03-subscription-pending-stayai.png,/subscriptions,visual-hierarchy,P1,98.5,"In pending scenario, page is materially identical to baseline; only counts shift","User does not understand a meaningful number of calls are stuck","When pending > threshold, page header switches to tinted 'Action needed today' + CTA",Agent B,008
S5.01,04-subscription-missing-stayai.png,/subscriptions,source-truth-messaging,P0,99.5,"'Missing Stay.ai final state' is hard-fail but reads as a normal scenario chip; KPIs still render as if live","Entire dataset unconfirmable; dashboard misleads user","Hard-fail state replaces Command Center with full-width banner + 'Contact data engineering' CTA + audit reference; KPI cards switch to em-dash with missing-data state label",Agent B,008
S5.02,04-subscription-missing-stayai.png,/subscriptions,terminology-jargon,P0,99.5,"'rendering shared-contract preview only' shown as user-facing copy in permission-denied state","Meaningless to non-engineer; looks like developer leak","Replace with 'We don't have permission to load live data here. We're showing a frozen sample so you can see the layout. Ask your manager for access.'",Agent B,008
S5.03,04-subscription-missing-stayai.png,/subscriptions,non-technical-comprehension,P1,98.5,"permission_denied and error paths use same banner template with different copy","User cannot tell whether to call IT (network), manager (permissions), or wait (data drift)","Three distinct banners with different icons and CTAs per copy guide §'system status' rules",Agent B,008
S6.01,05-cancellation-page-polished.png,/cancellations,business-value-visibility,P0,98.5,"Cancellation page does not split intake reasons from outcomes; generic module shell with single funnel + KPIs","Workflows #1 and #5 cannot be answered without reason breakdown","Cycle 008 ships /subscriptions/cancellation-intake per IA spec §4.1.4; repurpose /cancellations as top-level overview linking in",Agent B,008
S6.02,05-cancellation-page-polished.png,/cancellations,business-value-visibility,P1,98.5,"Confirmed cancellation page does not surface 'save attempts that failed' or cost-of-loss","User cannot see where retention is leaking","Add 'Where we lost them' section linking to /subscriptions/cost-too-high",Agent B,008
S6.03,05-cancellation-page-polished.png,/cancellations,advanced-filters,P1,98.5,"No reason taxonomy filter on cancellations","User cannot filter by Cost Too High / Don't need it / Service issue / etc.","Advanced filter drawer dimension 'Cancellation reason' per IA §8.1",Agent B,008
S7.01,06-retention-page-polished.png,/retention,terminology-jargon,P1,98.5,"'Save rate and retention journey' title is meta-language","Meta-language not operator-language","Retitle 'Calls we saved' / 'Where we kept the subscription'",Agent B,008
S7.02,06-retention-page-polished.png,/retention,drilldowns,P1,98.5,"Retention page does not link to Cost Too High retention funnel","No drill-down path to highest-value retention sequence","Primary card 'Cost Too High retention path' → /subscriptions/cost-too-high",Agent B,008
S7.03,06-retention-page-polished.png,/retention,business-value-visibility,P1,98.5,"Retention page does not surface offer-cost vs revenue protected","Net business value of retention invisible","Add 'Net business value protected' tile sourced from Agent A's /subscriptions/business-value contract",Agent B,008
S8.01,07-data-quality-page-polished.png,/data-quality,terminology-jargon,P1,98.5,"Page title 'Source freshness, contracts, and trust' includes 'contracts'","'contracts' is engineering vocabulary","Retitle 'How fresh is our data?' with sub 'Source freshness, version status, and trust labels'",Agent B,008
S8.02,07-data-quality-page-polished.png,/data-quality,terminology-jargon,P1,98.5,"Source health alerts use technical state names (degraded, stale)","User cannot interpret 'stale'","Plain-language: fresh→'On time'; warning→'Slightly delayed'; degraded→'Behind schedule'; stale→'Too old to trust'",Agent B,008
S8.03,07-data-quality-page-polished.png,/data-quality,terminology-jargon,P1,98.5,"LineageConflictPanel renders raw lineage breadcrumbs","Lineage breadcrumb meaningless to support","Default Level 1 'Conflict found between Stay.ai and Synthflow on N records'; breadcrumb at Level 2 expander",Agent B,008
S8.04,07-data-quality-page-polished.png,/data-quality,actionability,P1,98.5,"No operator action queue on data quality","User cannot tell what to fix today","Add 'Things to fix today' action list linking to runbooks",Agent B,008
S9.01,08-governance-page-polished.png,/governance,terminology-jargon,P1,98.5,"Page title 'RBAC, exports, and audit controls' is wrong audience","'RBAC' is jargon","Retitle 'Who can see and export what' with sub 'Roles, exports, and audit trail'",Agent B,008
S9.02,08-governance-page-polished.png,/governance,terminology-jargon,P1,98.5,"Permission matrix table shows raw role IDs","Raw role IDs unfriendly","Human role names with hover for underlying role ID",Agent B,008
S9.03,08-governance-page-polished.png,/governance,exports,P1,98.5,"Audit evidence table is the only place export readiness lives","Export UX scattered across pages","Export drawer is canonical UX; Governance keeps audit table referencing the drawer",Agent B,008
S9.04,08-governance-page-polished.png,/governance,visual-hierarchy,P2,98.5,"Governance hero copy does not differentiate from subscription hero","Subscription module loses visual lead","Governance hero uses less-aggressive treatment; subscription remains visual lead",Agent B,008
S10.01,—,/subscriptions/outcomes,navigation-clarity,P0,99.5,"Subpage does not exist","Cannot reach IA-promised view","Cycle 008 ships /subscriptions/outcomes per IA spec §4.1.2",Agent B,008
S10.02,—,/subscriptions/non-cancellation,navigation-clarity,P0,99.5,"Subpage does not exist","Workflow needs separate non-cancellation view","Cycle 008 ships /subscriptions/non-cancellation per IA spec §4.1.3",Agent B,008
S10.03,—,/subscriptions/cancellation-intake,navigation-clarity,P0,99.5,"Subpage does not exist","Reason taxonomy view absent","Cycle 008 ships /subscriptions/cancellation-intake per IA spec §4.1.4",Agent B,008
S10.04,—,/subscriptions/cost-too-high,navigation-clarity,P0,99.5,"Subpage does not exist","Highest-value retention sequence absent","Cycle 008 ships /subscriptions/cost-too-high per IA spec §4.1.5",Agent B,008
S10.05,—,/subscriptions/business-value,navigation-clarity,P0,99.5,"Subpage does not exist; Agent A's contract not surfaced","'How much money did we save?' workflow unanswered","Cycle 008 ships /subscriptions/business-value per IA spec §4.1.6",Agent B,008
S10.06,—,/subscriptions/portal-handoff,navigation-clarity,P0,99.5,"Subpage does not exist","Portal completion vs link-sent confusion not resolvable","Cycle 008 ships /subscriptions/portal-handoff per IA spec §4.1.7",Agent B,008
S10.07,—,/subscriptions/containment,navigation-clarity,P0,99.5,"Subpage does not exist","True containment KPI invisible","Cycle 008 ships /subscriptions/containment per IA spec §4.1.8 (blocked_by_data placeholder acceptable)",Agent B,008
S10.08,—,/subscriptions/follow-up,navigation-clarity,P0,99.5,"Subpage does not exist; subnav advertises a follow-up queue with attention badge","Action queue advertised but unreachable","Cycle 008 ships /subscriptions/follow-up per IA spec §4.1.9",Agent B,008
S10.09,—,/subscriptions/export-audit,navigation-clarity,P0,99.5,"Subpage does not exist","Governed export with manifest absent","Cycle 008 ships /subscriptions/export-audit per IA spec §4.1.10",Agent B,008
S10.10,—,/subscriptions/diagnostics,navigation-clarity,P1,99.0,"New home for retired Cycle 001/002 panels does not exist","Legacy panels still mounted on /subscriptions polluting Command Center","Cycle 008 ships /subscriptions/diagnostics with retired Cycle 001/002 panels (RBAC-gated)",Agent B,008
