metric_id_name,source_pack_reference,required_page_subpage,formula,source_of_truth,current_status,backend_endpoint_contract_location,ui_location,data_dependency,priority,recommended_cycle
automation_roi,wave10 business value mapping,Executive Overview,(net_saved_revenue + support_cost_avoided) / automation_operating_cost,warehouse_analytics,partial,GET /subscriptions/business-value fixture stub,missing,operating_cost_dataset_and_attribution,P0,Cycle 008
retention_roi_estimate,wave10 business value mapping,Cancellation/Retention/Save,net_retained_recovered_value / retention_program_cost,warehouse_analytics,partial,GET /subscriptions/business-value fixture stub,missing,retention_program_cost_allocation,P0,Cycle 008
estimated_churn_prevented_count,wave10 churn algorithms mapping,Revenue/Churn/Business Value,sum(predicted_saved_subscriptions),warehouse_analytics,partial,GET /subscriptions/business-value fixture stub,missing,churn_model_calibration,P0,Cycle 008
confirmed_churn_prevented_count,wave10 churn algorithms mapping,Revenue/Churn/Business Value,count(stayai confirmed retained/saved/active),stayai,partial,GET /subscriptions/business-value fixture stub,missing,confirmed_final_states,P0,Cycle 008
revenue_leakage_after_save,wave10 churn algorithms mapping,Revenue/Churn/Business Value,sum(saved_then_cancelled_revenue_loss),stayai_plus_billing,partial,GET /subscriptions/business-value fixture stub,missing,post_save_churn_horizon,P0,Cycle 008
high_value_churn_risk,wave10 churn algorithms mapping,Executive Overview > At-risk cohort,count(high risk and high MRR subscriptions),warehouse_analytics,partial,GET /subscriptions/business-value fixture stub,missing,risk_score_plus_mrr_threshold,P0,Cycle 008
cost_too_high_funnel_sequence_metrics,wave18 cancellation blueprint mapping,Cancellation/Retention > Cost Too High funnel,frequency_change -> offer -> final_outcome sequence,synthflow_plus_stayai_sequence_join,blocked,GET /subscriptions/business-value state=blocked_by_data,missing,offer_version_join_and_sequence_ordering,P0,"Cycle 008 after data contract"
frequency_change_completion_rate,wave18 cancellation blueprint mapping,Subscription non-cancellation actions,completed_frequency_change / requested_frequency_change,stayai,partial,GET /subscriptions/business-value fixture stub,missing,stayai_confirmation_coverage,P0,Cycle 008
skip_completion_rate,wave18 cancellation blueprint mapping,Subscription non-cancellation actions,completed_skip / requested_skip,stayai,partial,GET /subscriptions/business-value fixture stub,missing,stayai_action_completion_confirmation,P0,Cycle 008
pause_completion_rate,wave18 cancellation blueprint mapping,Subscription non-cancellation actions,completed_pause / requested_pause,stayai,partial,GET /subscriptions/business-value fixture stub,missing,stayai_action_completion_confirmation,P0,Cycle 008
portal_completion_rate,wave20 dashboard views mapping,Subscription journey > portal,confirmed_portal_completion / portal_link_sent,portal_plus_stayai,implemented,GET /subscriptions/outcomes and GET /subscriptions/analytics,SubscriptionOutcomesView_and_SubscriptionAnalyticsView,portal_completion_event|confirmed_completion_event_id,P0,Cycle 007 complete
true_subscription_containment_rate,wave20 dashboard views mapping,Executive Overview > Containment quality,contained_without_repeat_contact / eligible_subscription_contacts,warehouse_analytics_plus_synthflow_plus_stayai,missing,no dedicated contract,missing,repeat_contact_linkage_and_final_outcome,P0,Cycle 008
stay_ai_confirmation_coverage,wave20 metric registry mapping,Subscription source-confidence panel,confirmed_records / records_requiring_confirmation,stayai,partial,GET /subscriptions/source-health and GET /subscriptions/business-value,source_health_ui_exists_business_value_ui_missing,confirmation_status_events_and_denominator_definition,P0,"Cycle 007 contract; Cycle 008 executive view"
